pack_id,year,make,model,trim,source_tier,retry_reason,has_pdf,manifest_dual_extract_agree
"bmw-3-series-2025-330i","2025","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2025-330e","2025","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2025-m340i","2025","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2024-330i","2024","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2024-330e","2024","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2024-m340i","2024","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2023-330i","2023","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2023-330e","2023","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2023-m340i","2023","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2022-330i","2022","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2022-330e","2022","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2022-m340i","2022","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2021-330i","2021","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2021-330e","2021","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2021-m340i","2021","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2020-330i","2020","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2020-330e","2020","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2020-m340i","2020","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2019-330i","2019","BMW","3 Series","330i","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2019-330e","2019","BMW","3 Series","330e","B","dual_extract_mismatch","yes","no"
"bmw-3-series-2019-m340i","2019","BMW","3 Series","M340i","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2025-530i","2025","BMW","5 Series","530i","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2025-530e","2025","BMW","5 Series","530e","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2025-540i","2025","BMW","5 Series","540i","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2024-530i","2024","BMW","5 Series","530i","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2024-530e","2024","BMW","5 Series","530e","B","dual_extract_mismatch","yes","no"
"bmw-5-series-2024-540i","2024","BMW","5 Series","540i","B","dual_extract_mismatch","yes","no"
