"priority","pack_id","year","make","model","trim","powertrain","segment","oem_family","schedule_kind","source_tier","primary_pdf_url","alternate_pdf_urls","manual_type","maintenance_section_title","manual_share_applied","shared_from_pack_id","estimated_pdf_pages","http_status","content_type","sha256_if_downloaded","confidence","notes","blocked_reason"
"1","bmw-3-series-2025-330i","2025","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"2","bmw-3-series-2025-330e","2025","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2025-330i","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2025-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"3","bmw-3-series-2025-m340i","2025","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2025-330i","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2025-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"4","bmw-3-series-2024-330i","2024","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"5","bmw-3-series-2024-330e","2024","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2024-330i","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2024-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"6","bmw-3-series-2024-m340i","2024","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2024-330i","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2024-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"7","bmw-3-series-2023-330i","2023","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2023/BMW-MY-2023-All-Models-Maintenance-(On-line).pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","24","200","application/pdf","f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 836848 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 836848 bytes, SHA-256 f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"8","bmw-3-series-2023-330e","2023","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2023/BMW-MY-2023-All-Models-Maintenance-(On-line).pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2023-330i","24","200","application/pdf","f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2023-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 836848 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 836848 bytes, SHA-256 f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"9","bmw-3-series-2023-m340i","2023","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2023/BMW-MY-2023-All-Models-Maintenance-(On-line).pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2023-330i","24","200","application/pdf","f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2023-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 836848 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 836848 bytes, SHA-256 f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"10","bmw-3-series-2022-330i","2022","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2022/BMW_2022_All_Models_Maintenance_ADA.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","27","200","application/pdf","bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 921173 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 921173 bytes, SHA-256 bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"11","bmw-3-series-2022-330e","2022","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2022/BMW_2022_All_Models_Maintenance_ADA.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2022-330i","27","200","application/pdf","bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2022-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 921173 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 921173 bytes, SHA-256 bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"12","bmw-3-series-2022-m340i","2022","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2022/BMW_2022_All_Models_Maintenance_ADA.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2022-330i","27","200","application/pdf","bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2022-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 921173 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 921173 bytes, SHA-256 bde6822fd8b30af841919e52d6f192e5ebdd07a0cde44e852d91db022bae0cfb. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"13","bmw-3-series-2021-330i","2021","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2021/5A1BC92_21MY_BMW_Maintenance_FINAL_Print_withCover_111220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","26","200","application/pdf","3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1346051 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1346051 bytes, SHA-256 3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"14","bmw-3-series-2021-330e","2021","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2021/5A1BC92_21MY_BMW_Maintenance_FINAL_Print_withCover_111220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2021-330i","26","200","application/pdf","3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2021-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1346051 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1346051 bytes, SHA-256 3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"15","bmw-3-series-2021-m340i","2021","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2021/5A1BC92_21MY_BMW_Maintenance_FINAL_Print_withCover_111220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2021-330i","26","200","application/pdf","3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2021-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1346051 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1346051 bytes, SHA-256 3596c1ae0c3e8a25be5da00290b807bebcc75ecacbb8eb102a539622fd63b317. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"16","bmw-3-series-2020-330i","2020","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2020/5A0BC07_20MY_BMW_Maintenance_FINAL_Print_withCover_042220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","27","200","application/pdf","54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 2042684 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 2042684 bytes, SHA-256 54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"17","bmw-3-series-2020-330e","2020","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2020/5A0BC07_20MY_BMW_Maintenance_FINAL_Print_withCover_042220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2020-330i","27","200","application/pdf","54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2020-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 2042684 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 2042684 bytes, SHA-256 54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"18","bmw-3-series-2020-m340i","2020","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2020/5A0BC07_20MY_BMW_Maintenance_FINAL_Print_withCover_042220.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2020-330i","27","200","application/pdf","54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2020-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 2042684 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 2042684 bytes, SHA-256 54ce5e875bee4f11673c2ab308f5a776e136a254dd87d9ed6af304b52cd7db2a. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
